player_id,country_id,caps,intl_goals,jersey_num
185641,25,137,37,6
215002,32,98,26,10
375518,15,49,13,17
318172,7,34,9,7
183000,21,80,21,11
318768,22,31,8,9
200176,43,79,20,21
290186,28,52,13,10
302539,38,32,8,10
309316,20,28,7,19
307849,42,24,6,9
367393,21,12,3,18
375459,17,8,2,20
367347,48,8,2,9
356403,6,8,2,20
275112,29,4,1,20
319438,32,4,1,20
359235,27,4,1,22
379972,21,4,1,6
369058,15,4,1,16
217313,32,98,24,15
358015,19,29,7,9
358048,38,21,5,9
196752,20,101,23,7
358120,5,22,5,7
330659,25,40,9,10
300235,38,18,4,20
213953,23,23,5,9
356198,18,14,3,15
236530,14,61,13,5
214876,14,62,13,10
299878,19,24,5,20
234551,31,73,15,10
237058,14,39,8,14
290452,17,39,8,7
290903,5,44,9,11
266800,2,45,9,7
362727,7,25,5,8
306954,43,25,5,18
367388,19,10,2,19
359217,27,5,1,23
379886,25,5,1,9
187258,15,91,18,18
248373,19,81,16,7
198106,28,82,16,19
254167,36,73,14,17
214961,18,110,21,4
269058,13,21,4,10
210704,15,111,21,11
216435,38,16,3,19
254166,36,22,4,18
355997,21,22,4,7
178299,3,73,13,23
297705,43,63,11,20
356731,31,23,4,9
215513,22,75,13,14
214228,33,60,10,8
299198,6,48,8,8
358024,22,18,3,18
367913,7,12,2,13
196897,21,12,2,9
371044,31,12,2,7
353235,21,12,2,13
208016,7,6,1,5
316997,2,6,1,8
356407,45,6,1,6
178842,17,110,18,8
290902,5,50,8,8
201787,11,25,4,9
209119,27,94,15,16
175524,21,57,9,5
312672,48,19,3,10
316117,15,32,5,9
311558,45,26,4,10
217117,13,13,2,23
297106,19,33,5,8
267543,11,53,8,8
358108,5,20,3,22
274946,21,47,7,8
175498,48,115,17,7
200179,43,88,13,10
296633,15,61,9,7
212410,42,34,5,4
215623,27,34,5,14
233531,48,84,12,4
233167,6,35,5,18
207906,43,7,1,5
298892,2,7,1,13
354875,1,7,1,18
372989,6,7,1,3
321697,3,7,1,7
367396,9,7,1,19
251352,31,101,14,18
229392,2,29,4,22
207528,43,109,15,14
210214,36,73,10,16
360728,48,22,3,19
209979,45,74,10,7
344714,33,37,5,7
273996,5,45,6,10
218284,7,30,4,6
358736,32,15,2,4
305764,18,23,3,5
210213,36,71,9,2
375523,5,79,10,15
178119,31,119,15,4
183857,43,96,12,6
297331,45,24,3,14
349592,11,24,3,2
296118,9,16,2,8
349517,13,8,1,14
177876,27,108,13,21
353119,28,25,3,15
275162,20,43,5,18
358049,38,26,3,8
305378,51,26,3,14
202544,17,70,8,16
184545,17,81,9,14
216567,51,72,8,7
268414,42,54,6,17
289195,31,27,3,22
321745,42,27,3,18
309714,13,27,3,11
291389,42,27,3,7
274135,19,18,2,5
295153,25,9,1,17
268594,29,9,1,6
369990,23,9,1,16
336837,14,9,1,20
297112,22,73,8,7
241559,15,74,8,10
228336,22,65,7,15
229502,51,56,6,6
359381,15,28,3,4
349574,17,19,2,15
198243,13,48,5,8
290821,5,48,5,6
237949,25,77,8,14
298582,21,29,3,21
213170,25,49,5,7
358011,19,20,2,2
318150,11,20,2,20
290605,3,10,1,14
356669,7,10,1,20
181406,7,71,7,23
227839,23,41,4,10
304934,23,41,4,15
239433,51,93,9,2
300407,6,42,4,23
298959,7,42,4,16
230739,2,21,2,18
209989,45,53,5,4
197514,3,43,4,15
177855,43,131,12,8
300402,6,44,4,17
290800,3,22,2,20
365464,23,11,1,4
311554,45,11,1,9
358692,20,11,1,14
184447,17,89,8,10
180936,29,56,5,13
290825,5,56,5,19
196900,20,45,4,6
268406,42,58,5,16
294620,21,47,4,10
177768,29,143,12,7
218253,31,120,10,3
209502,11,60,5,15
267527,11,60,5,17
296297,23,36,3,23
183882,1,24,2,7
239424,7,24,2,18
358114,5,24,2,14
318034,2,24,2,17
312432,15,24,2,6
323698,9,24,2,10
261029,45,73,6,8
214887,22,110,9,21
190962,7,74,6,2
271182,14,50,4,11
299960,18,25,2,6
200847,13,25,2,19
281252,11,25,2,14
196605,45,63,5,2
216814,43,115,9,15
216874,5,26,2,18
356162,1,13,1,4
168832,22,134,10,10
199600,9,67,5,11
178403,33,96,7,2
297377,15,55,4,8
278072,25,83,6,4
202655,11,56,4,10
290904,5,56,4,5
197411,3,28,2,5
213124,25,14,1,5
364707,21,14,1,14
303394,31,14,1,21
306424,3,14,1,11
269784,36,43,3,5
234463,33,58,4,10
358013,19,29,2,6
311150,20,29,2,5
305972,17,29,2,9
216004,5,59,4,4
216973,43,60,4,3
215208,1,61,4,2
294619,21,61,4,20
200219,13,48,3,13
3408,13,97,6,3
200935,9,49,3,17
230114,23,49,3,20
215274,27,67,4,3
268821,14,34,2,3
295157,25,17,1,19
349588,11,17,1,16
330693,23,17,1,17
310048,9,35,2,18
268822,14,35,2,22
178963,28,106,6,4
297373,15,72,4,5
321641,27,36,2,19
210212,36,18,1,13
245156,11,18,1,13
299086,22,18,1,16
367918,7,18,1,17
233703,2,37,2,15
209827,23,93,5,8
275931,36,57,3,3
228936,27,19,1,7
186787,38,97,5,4
200262,9,39,2,7
271253,29,40,2,22
251481,25,20,1,15
